strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
-2.522761415515762,0.816496580927723,4.112774295925,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.436165403913483,0.816496580927723,4.410146286497359,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.392867398112344,0.816496580927723,4.2841047768123275,8.616544414462563,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.349569392311204,0.816496580927723,3.9313113672432616,6.613808048222399,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.306271386510065,0.816496580927723,4.368695363702038,5.07228543325969,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.262973380708926,0.816496580927723,4.008686423127861,6.419119989405242,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.219675374907786,0.816496580927723,3.9965581901618226,7.380129951377489,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.176377369106647,0.816496580927723,3.303560169798566,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.133079363305508,0.816496580927723,3.9164197394242017,6.2894893830783944,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-2.0031853459020894,0.816496580927723,3.7272807139285145,7.259539586587761,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.9598873401009502,0.816496580927723,3.305248911097635,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.916589334299811,0.816496580927723,3.3772506992124702,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.8732913284986716,0.816496580927723,2.9395596588811355,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.8299933226975322,0.816496580927723,3.53184728904539,4.589427024323783,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.786695316896393,0.816496580927723,2.7637770418417187,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.7433973110952536,0.816496580927723,2.6759624942901494,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.7000993052941142,0.816496580927723,2.4355471420772874,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.6568012994929748,0.816496580927723,2.664908914878064,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
-1.6135032936918356,0.816496580927723,3.2258780700414085,-0.4709969578377454,1.2833485570964993,0.0,0.0,0.0,-0.7001054727805542,0.9306295871996704
