symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,29,304.84,302.51,303.6,10.0,15.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.880953
SPY,2025-04-17,270.0,C,29,324.21,292.58,293.84,2.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881004
SPY,2025-04-17,275.0,C,29,316.0,333.81,337.34,1.0,1.0,3.3068254634094236,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881044
SPY,2025-04-17,280.0,C,29,293.02,308.53,311.42,3.0,0.0,2.532657476959228,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881081
SPY,2025-04-17,285.0,C,29,321.51,290.58,291.79,1.0,1.0,1.9069828869628909,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881116
SPY,2025-04-17,290.0,C,29,298.06,299.38,302.43,,1.0,2.465946217956543,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881152
SPY,2025-04-17,295.0,C,29,297.27,306.95,310.51,2.0,13.0,2.8452177307128905,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881187
SPY,2025-04-17,300.0,C,29,252.13,262.18,263.57,5.0,18.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881222
SPY,2025-04-17,305.0,C,29,292.05,287.79,290.45,12.0,32.0,2.4287759007263183,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881256
SPY,2025-04-17,320.0,C,29,279.73,290.03,293.65,5.0,3.0,2.8146086763763423,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881291
SPY,2025-04-17,325.0,C,29,252.24,237.62,239.13,1.0,17.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.45,2025-03-19T11:18:18.881325
