symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,29,304.84,302.99,304.14,10.0,15.0,1.1777384863281248,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391571
SPY,2025-04-17,270.0,C,29,324.21,293.26,294.18,2.0,2.0,1.1674846313476563,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391620
SPY,2025-04-17,275.0,C,29,316.0,333.81,337.34,1.0,1.0,3.3758560525512693,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391660
SPY,2025-04-17,280.0,C,29,293.02,308.53,311.42,3.0,0.0,2.611453666687012,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391696
SPY,2025-04-17,285.0,C,29,321.51,290.58,291.79,1.0,1.0,2.0112354406738278,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391732
SPY,2025-04-17,290.0,C,29,298.06,299.38,302.43,,1.0,2.540958237457275,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391767
SPY,2025-04-17,295.0,C,29,297.27,306.95,310.51,2.0,13.0,2.9112576046752934,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391802
SPY,2025-04-17,300.0,C,29,252.13,263.1,264.17,5.0,18.0,0.9941406835937501,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391837
SPY,2025-04-17,305.0,C,29,292.05,287.79,290.45,12.0,32.0,2.497318209838867,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391871
SPY,2025-04-17,320.0,C,29,279.73,290.03,293.65,5.0,3.0,2.872500377349853,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391905
SPY,2025-04-17,325.0,C,29,252.24,238.04,239.13,1.0,17.0,0.8676771044921875,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391940
SPY,2025-04-17,330.0,C,29,256.93,233.2,234.31,16.0,16.0,0.8813488427734374,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.391974
SPY,2025-04-17,335.0,C,29,228.42,228.12,229.28,1.0,2.0,0.848634326171875,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392007
SPY,2025-04-17,340.0,C,29,267.0,242.27,245.68,8.0,3.0,1.854920158996582,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392042
SPY,2025-04-17,345.0,C,29,216.97,218.23,219.31,13.0,8.0,0.8183611914062499,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392076
SPY,2025-04-17,350.0,C,29,211.25,213.25,214.18,7.0,10.0,0.78711150390625,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392110
SPY,2025-04-17,355.0,C,29,195.59,208.22,209.17,21.0,23.0,0.762697685546875,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392144
SPY,2025-04-17,360.0,C,29,210.53,203.25,204.18,2.0,31.0,0.7456080126953125,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392178
SPY,2025-04-17,365.0,C,29,247.07,198.1,199.2,4.0,4.0,0.7136259106445313,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392212
SPY,2025-04-17,370.0,C,29,189.2,193.29,194.18,2.0,7.0,0.7082548706054688,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392246
SPY,2025-04-17,375.0,C,29,184.53,188.29,189.2,1.0,88.0,0.6899445068359377,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392280
SPY,2025-04-17,380.0,C,29,179.56,183.14,184.22,1.0,37.0,0.6596713720703126,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392314
SPY,2025-04-17,385.0,C,29,174.23,178.31,179.25,80.0,46.0,0.6557651611328126,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392349
SPY,2025-04-17,390.0,C,29,169.57,173.31,174.37,100.0,51.0,0.6445348046875,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392383
SPY,2025-04-17,395.0,C,29,164.65,168.27,169.31,11.0,61.0,0.6181678808593751,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392416
SPY,2025-04-17,400.0,C,29,161.21,163.39,164.43,94.0,198.0,0.6145058081054688,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392451
SPY,2025-04-17,405.0,C,29,155.41,158.59,159.46,50.0,190.0,0.6081582153320313,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392485
SPY,2025-04-17,410.0,C,29,154.49,153.45,154.46,23.0,244.0,0.5810588769531251,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392519
SPY,2025-04-17,415.0,C,29,144.24,148.41,149.46,103.0,132.0,0.5596967858886719,0.7,0.0,0.0,0.0,563.08,2025-03-19T10:54:12.392553
