symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,29,304.84,303.34,304.66,10.0,15.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.796968
SPY,2025-04-17,270.0,C,29,324.21,293.21,294.53,2.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797061
SPY,2025-04-17,275.0,C,29,316.0,333.81,337.34,1.0,1.0,3.306520288391113,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797110
SPY,2025-04-17,280.0,C,29,293.02,308.53,311.42,3.0,0.0,2.5323523019409175,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797166
SPY,2025-04-17,285.0,C,29,321.51,290.58,291.79,1.0,1.0,1.9065556430053712,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797306
SPY,2025-04-17,290.0,C,29,298.06,299.38,302.43,,1.0,2.4655800079345704,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797369
SPY,2025-04-17,295.0,C,29,297.27,306.95,310.51,2.0,13.0,2.84491255569458,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797415
SPY,2025-04-17,300.0,C,29,252.13,263.2,264.64,5.0,18.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797456
SPY,2025-04-17,305.0,C,29,292.05,287.79,290.45,12.0,32.0,2.4284707257080083,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797493
SPY,2025-04-17,320.0,C,29,279.73,290.03,293.65,5.0,3.0,2.814334018859863,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797530
SPY,2025-04-17,325.0,C,29,252.24,238.56,239.63,1.0,17.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797566
SPY,2025-04-17,330.0,C,29,256.93,233.62,234.52,16.0,16.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797601
SPY,2025-04-17,335.0,C,29,228.42,228.66,229.52,1.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797636
SPY,2025-04-17,340.0,C,29,267.0,242.27,245.68,8.0,3.0,1.7853404287719727,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797721
SPY,2025-04-17,345.0,C,29,216.97,218.62,219.52,13.0,8.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797767
SPY,2025-04-17,350.0,C,29,211.25,213.43,214.63,7.0,10.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797805
SPY,2025-04-17,355.0,C,29,195.59,208.25,209.52,21.0,23.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797841
SPY,2025-04-17,360.0,C,29,210.53,203.68,204.61,2.0,31.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797877
SPY,2025-04-17,365.0,C,29,247.07,198.66,199.64,4.0,4.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797913
SPY,2025-04-17,370.0,C,29,189.2,193.35,194.44,2.0,7.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797948
SPY,2025-04-17,375.0,C,29,184.53,188.6,189.6,1.0,88.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.797983
SPY,2025-04-17,380.0,C,29,179.56,183.62,184.47,1.0,37.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798018
SPY,2025-04-17,385.0,C,29,174.23,178.4,179.57,80.0,46.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798053
SPY,2025-04-17,390.0,C,29,169.57,173.27,174.48,100.0,51.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798088
SPY,2025-04-17,395.0,C,29,164.65,168.68,169.62,11.0,61.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798123
SPY,2025-04-17,400.0,C,29,161.21,163.71,164.66,94.0,198.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798159
SPY,2025-04-17,405.0,C,29,155.41,158.53,159.77,50.0,190.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798194
SPY,2025-04-17,410.0,C,29,154.49,153.81,154.7,23.0,244.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798229
SPY,2025-04-17,415.0,C,29,144.24,148.54,149.82,103.0,132.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798263
SPY,2025-04-17,420.0,C,29,141.5,143.72,144.79,2.0,683.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798298
SPY,2025-04-17,425.0,C,29,134.88,138.83,139.8,1.0,247.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798332
SPY,2025-04-17,430.0,C,29,130.74,133.67,134.85,3.0,439.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798367
SPY,2025-04-17,435.0,C,29,134.25,128.93,129.85,2.0,89.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798401
SPY,2025-04-17,440.0,C,29,126.34,123.9,124.93,6.0,970.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798436
SPY,2025-04-17,445.0,C,29,116.06,118.8,119.9,205.0,160.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798470
SPY,2025-04-17,450.0,C,29,111.25,113.85,115.04,3.0,348.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798505
SPY,2025-04-17,455.0,C,29,99.71,109.05,110.08,2.0,114.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798539
SPY,2025-04-17,460.0,C,29,105.23,104.28,105.13,5.0,55.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798573
SPY,2025-04-17,465.0,C,29,101.11,99.34,100.18,10.0,408.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798607
SPY,2025-04-17,470.0,C,29,91.06,94.33,95.24,1.0,146.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798641
SPY,2025-04-17,475.0,C,29,86.33,89.42,90.33,21.0,162.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798675
SPY,2025-04-17,480.0,C,29,84.52,84.4,85.42,14.0,2583.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798709
SPY,2025-04-17,485.0,C,29,68.9,79.6,80.48,14.0,1616.0,0.20117986328124998,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798743
SPY,2025-04-17,490.0,C,29,79.62,74.74,75.58,3.0,146.0,0.22071091796874998,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798776
SPY,2025-04-17,495.0,C,29,68.84,69.82,70.78,28.0,101.0,0.23633576171874998,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798810
SPY,2025-04-17,500.0,C,29,65.08,64.96,65.85,33.0,546.0,0.22827920166015625,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798845
SPY,2025-04-17,505.0,C,29,58.07,60.13,61.07,29.0,651.0,0.23023230712890624,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798879
SPY,2025-04-17,510.0,C,29,59.18,55.29,56.34,25.0,6071.0,0.2301712725830078,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798913
SPY,2025-04-17,511.0,C,29,55.26,54.05,55.52,2.0,3.0,0.23609162353515623,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798947
SPY,2025-04-17,512.0,C,29,54.31,53.54,54.51,4.0,3.0,0.23200230895996093,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.798981
SPY,2025-04-17,513.0,C,29,50.05,52.59,53.53,7.0,9.0,0.22937782348632813,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799015
SPY,2025-04-17,514.0,C,29,56.67,51.65,52.59,11.0,10.0,0.22864540893554688,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799049
SPY,2025-04-17,515.0,C,29,51.0,50.57,51.6,11.0,684.0,0.2254716125488281,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799084
SPY,2025-04-17,516.0,C,29,55.27,49.79,50.72,4.0,54.0,0.22718057983398435,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799118
SPY,2025-04-17,517.0,C,29,51.45,48.81,49.79,4.0,3.0,0.2264481652832031,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799152
SPY,2025-04-17,518.0,C,29,44.57,47.93,48.89,,22.0,0.2268143725585937,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799187
SPY,2025-04-17,519.0,C,29,47.82,47.0,47.92,2.0,3.0,0.22425092163085933,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799221
SPY,2025-04-17,520.0,C,29,46.36,46.01,46.86,2.0,2498.0,0.21808643249511717,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799255
SPY,2025-04-17,521.0,C,29,45.97,44.71,46.1,2.0,134.0,0.22333540344238278,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799289
SPY,2025-04-17,522.0,C,29,43.59,44.26,45.19,5.0,4.0,0.22266402343749997,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799324
SPY,2025-04-17,523.0,C,29,41.49,43.34,44.29,2.0,166.0,0.22217574707031246,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799358
SPY,2025-04-17,524.0,C,29,41.11,41.96,43.44,2.0,103.0,0.22321333435058593,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799392
SPY,2025-04-17,525.0,C,29,42.44,41.54,42.37,2.0,4212.0,0.21692677612304687,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799427
SPY,2025-04-17,526.0,C,29,39.34,40.67,41.68,2.0,87.0,0.22260298889160152,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799461
SPY,2025-04-17,527.0,C,29,43.84,39.35,40.68,2.0,32.0,0.21845263977050777,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799495
SPY,2025-04-17,528.0,C,29,36.32,38.63,39.77,2.0,139.0,0.2169878106689453,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799530
SPY,2025-04-17,529.0,C,29,37.47,37.96,38.86,,56.0,0.21540091247558596,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799564
SPY,2025-04-17,530.0,C,29,39.29,37.54,37.77,15.0,4934.0,0.20862607788085932,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799599
SPY,2025-04-17,531.0,C,29,38.51,36.17,37.1,6.0,37.0,0.21356987609863282,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799633
SPY,2025-04-17,532.0,C,29,37.2,35.35,36.28,4.0,38.0,0.21399711791992188,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799668
SPY,2025-04-17,533.0,C,29,34.79,34.52,35.36,3.0,106.0,0.21167780517578122,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799703
SPY,2025-04-17,534.0,C,29,38.56,33.63,34.55,12.0,80.0,0.21198297790527343,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799738
SPY,2025-04-17,535.0,C,29,34.59,33.18,33.43,2.0,2513.0,0.204536763305664,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799772
SPY,2025-04-17,536.0,C,29,33.89,31.96,32.77,4.0,86.0,0.2082598706054687,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799806
SPY,2025-04-17,537.0,C,29,31.37,31.1,31.89,4.0,68.0,0.20642883422851557,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799840
SPY,2025-04-17,538.0,C,29,31.35,30.22,31.18,6.0,42.0,0.20838193969726557,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799874
SPY,2025-04-17,539.0,C,29,27.82,29.46,30.26,4.0,119.0,0.20539124694824218,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799908
SPY,2025-04-17,540.0,C,29,29.97,29.09,29.3,8.0,4320.0,0.2014850360107422,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799944
SPY,2025-04-17,541.0,C,29,28.8,27.72,28.68,2.0,327.0,0.20471986694335934,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.799978
SPY,2025-04-17,542.0,C,29,27.47,26.81,27.65,4.0,243.0,0.19916572326660154,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800011
SPY,2025-04-17,543.0,C,29,27.46,26.6,26.92,10.0,370.0,0.1997150341796875,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800045
SPY,2025-04-17,544.0,C,29,26.72,25.37,26.24,4.0,298.0,0.2010272769165039,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800079
SPY,2025-04-17,545.0,C,29,26.01,25.15,25.36,18.0,2878.0,0.19818917053222657,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800113
SPY,2025-04-17,546.0,C,29,22.58,24.34,24.69,4.0,374.0,0.19928779235839844,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800147
SPY,2025-04-17,547.0,C,29,24.87,23.09,23.97,5.0,137.0,0.19919624053955076,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800181
SPY,2025-04-17,548.0,C,29,21.34,22.8,23.09,20.0,395.0,0.1959614096069336,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800215
SPY,2025-04-17,549.0,C,29,20.55,21.97,22.28,3.0,625.0,0.19391675231933597,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800249
SPY,2025-04-17,550.0,C,29,22.2,21.35,21.4,112.0,9298.0,0.19046830047607421,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800284
SPY,2025-04-17,551.0,C,29,20.86,20.63,20.69,21.0,855.0,0.1899189895629883,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800320
SPY,2025-04-17,552.0,C,29,19.95,19.87,19.92,22.0,708.0,0.18814898773193356,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800355
SPY,2025-04-17,553.0,C,29,19.42,19.16,19.22,23.0,743.0,0.18738605590820312,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800389
SPY,2025-04-17,554.0,C,29,18.71,18.54,18.59,20.0,1050.0,0.18763019409179688,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800424
SPY,2025-04-17,555.0,C,29,17.66,17.76,17.8,266.0,10989.0,0.185005708618164,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800458
SPY,2025-04-17,556.0,C,29,17.33,17.09,17.13,234.0,564.0,0.18421225952148437,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800492
SPY,2025-04-17,557.0,C,29,17.57,16.39,16.43,290.0,909.0,0.18271691314697264,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800526
SPY,2025-04-17,558.0,C,29,15.99,15.77,15.8,276.0,1120.0,0.18219811950683595,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800560
SPY,2025-04-17,559.0,C,29,15.0,15.17,15.2,168.0,1804.0,0.18192346405029297,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800594
SPY,2025-04-17,560.0,C,29,14.5,14.47,14.5,1064.0,11511.0,0.17984828948974607,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800628
SPY,2025-04-17,561.0,C,29,13.9,13.89,13.93,768.0,2381.0,0.17966518585205077,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800662
SPY,2025-04-17,562.0,C,29,12.97,13.23,13.26,361.0,2104.0,0.17768156311035155,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800695
SPY,2025-04-17,563.0,C,29,12.65,12.63,12.66,506.0,2284.0,0.1766134585571289,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800728
SPY,2025-04-17,564.0,C,29,12.04,12.07,12.08,805.0,1620.0,0.17563690582275393,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800762
SPY,2025-04-17,565.0,C,29,11.51,11.44,11.47,2281.0,6784.0,0.1739889730834961,0.7,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800795
SPY,2025-04-17,566.0,C,29,10.9,10.88,10.91,985.0,1878.0,0.17289035125732422,0.3,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800828
SPY,2025-04-17,567.0,C,29,10.28,10.34,10.37,322.0,2239.0,0.17188328125000002,0.3,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800863
SPY,2025-04-17,568.0,C,29,9.75,9.8,9.83,429.0,2141.0,0.1706625903320313,0.3,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800901
SPY,2025-04-17,569.0,C,29,9.27,9.28,9.32,590.0,2474.0,0.16968603759765627,0.3,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800936
SPY,2025-04-17,570.0,C,29,8.81,8.77,8.81,3164.0,13764.0,0.16846534667968754,0.3,0.0,0.0,0.0,565.44,2025-03-19T11:13:17.800971
