symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,29,304.84,302.39,303.74,10.0,15.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825210
SPY,2025-04-17,270.0,C,29,324.21,292.68,293.74,2.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825264
SPY,2025-04-17,275.0,C,29,316.0,333.81,337.34,1.0,1.0,3.309877213592529,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825306
SPY,2025-04-17,280.0,C,29,293.02,308.53,311.42,3.0,0.0,2.5361364721679687,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825346
SPY,2025-04-17,285.0,C,29,321.51,290.58,291.79,1.0,1.0,1.91174360534668,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825382
SPY,2025-04-17,290.0,C,29,298.06,299.38,302.43,,1.0,2.469242108154297,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825419
SPY,2025-04-17,295.0,C,29,297.27,306.95,310.51,2.0,13.0,2.8480863758850097,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825454
SPY,2025-04-17,300.0,C,29,252.13,262.34,263.6,5.0,18.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825490
SPY,2025-04-17,305.0,C,29,292.05,287.79,290.45,12.0,32.0,2.431766615905761,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825525
SPY,2025-04-17,320.0,C,29,279.73,290.03,293.65,5.0,3.0,2.8171416290283204,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825560
SPY,2025-04-17,325.0,C,29,252.24,237.44,238.73,1.0,17.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825595
SPY,2025-04-17,330.0,C,29,256.93,232.58,233.89,16.0,16.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825630
SPY,2025-04-17,335.0,C,29,228.42,227.34,228.59,1.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825663
SPY,2025-04-17,340.0,C,29,267.0,242.27,245.68,8.0,3.0,1.788758380432129,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825697
SPY,2025-04-17,345.0,C,29,216.97,217.68,218.66,13.0,8.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825731
SPY,2025-04-17,350.0,C,29,211.25,212.44,213.71,7.0,10.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825765
SPY,2025-04-17,355.0,C,29,195.59,207.45,208.59,21.0,23.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825798
SPY,2025-04-17,360.0,C,29,210.53,202.7,203.68,2.0,31.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825831
SPY,2025-04-17,365.0,C,29,247.07,197.47,198.68,4.0,4.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825866
SPY,2025-04-17,370.0,C,29,189.2,192.74,193.64,2.0,7.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825900
SPY,2025-04-17,375.0,C,29,184.53,187.48,188.7,1.0,88.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825932
SPY,2025-04-17,380.0,C,29,179.56,182.88,183.8,1.0,37.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825965
SPY,2025-04-17,385.0,C,29,174.23,177.52,178.66,80.0,46.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.825998
SPY,2025-04-17,390.0,C,29,169.57,172.55,173.69,100.0,51.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826030
SPY,2025-04-17,395.0,C,29,164.65,167.86,168.75,11.0,61.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826063
SPY,2025-04-17,400.0,C,29,161.21,162.6,163.8,94.0,198.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826096
SPY,2025-04-17,405.0,C,29,155.41,157.9,158.83,50.0,190.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826128
SPY,2025-04-17,410.0,C,29,154.49,152.79,153.74,23.0,244.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826161
SPY,2025-04-17,415.0,C,29,144.24,147.98,148.98,103.0,132.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826194
SPY,2025-04-17,420.0,C,29,141.5,143.18,143.88,2.0,683.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826227
SPY,2025-04-17,425.0,C,29,134.88,138.06,138.92,1.0,247.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826259
SPY,2025-04-17,430.0,C,29,130.74,133.07,133.95,3.0,439.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826292
SPY,2025-04-17,435.0,C,29,134.25,128.02,129.02,2.0,89.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826325
SPY,2025-04-17,440.0,C,29,126.34,123.31,124.2,6.0,970.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826357
SPY,2025-04-17,445.0,C,29,116.06,117.97,119.11,205.0,160.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826406
SPY,2025-04-17,450.0,C,29,111.25,113.02,114.12,3.0,348.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826440
SPY,2025-04-17,455.0,C,29,99.71,108.51,109.33,2.0,114.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826483
SPY,2025-04-17,460.0,C,29,105.23,103.54,104.22,5.0,55.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826523
SPY,2025-04-17,465.0,C,29,101.11,98.34,99.57,10.0,408.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826556
SPY,2025-04-17,470.0,C,29,91.06,93.66,94.34,1.0,146.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826589
SPY,2025-04-17,475.0,C,29,86.33,88.61,89.58,21.0,162.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826621
SPY,2025-04-17,480.0,C,29,84.52,83.44,84.59,14.0,2583.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826654
SPY,2025-04-17,485.0,C,29,68.9,78.69,79.64,14.0,1616.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826687
SPY,2025-04-17,490.0,C,29,79.62,73.69,74.74,3.0,146.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826719
SPY,2025-04-17,495.0,C,29,68.84,68.96,69.86,28.0,101.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826752
SPY,2025-04-17,500.0,C,29,65.08,64.16,65.04,33.0,546.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826784
SPY,2025-04-17,505.0,C,29,58.07,59.18,60.24,29.0,651.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826817
SPY,2025-04-17,510.0,C,29,55.35,54.57,55.42,4.0,6071.0,0.1562584375,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826849
SPY,2025-04-17,511.0,C,29,55.26,53.81,54.9,2.0,3.0,0.20618469604492184,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826882
SPY,2025-04-17,512.0,C,29,54.31,52.76,53.72,4.0,3.0,0.18909502319335939,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826914
SPY,2025-04-17,513.0,C,29,50.05,51.79,52.74,7.0,9.0,0.18763019409179688,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826947
SPY,2025-04-17,514.0,C,29,56.67,51.03,52.07,11.0,10.0,0.20703917968749996,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.826980
SPY,2025-04-17,515.0,C,29,51.0,49.9,50.81,11.0,684.0,0.18677571044921876,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827012
SPY,2025-04-17,516.0,C,29,55.27,49.17,49.99,4.0,54.0,0.19556468505859376,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827045
SPY,2025-04-17,517.0,C,29,51.45,48.22,49.08,4.0,3.0,0.19751779052734375,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827084
SPY,2025-04-17,518.0,C,29,44.57,46.73,48.12,,22.0,0.196297099609375,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827118
SPY,2025-04-17,519.0,C,29,47.82,46.17,47.13,2.0,3.0,0.19336744140625,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827151
SPY,2025-04-17,520.0,C,29,46.36,45.36,46.09,2.0,2498.0,0.18775226318359373,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827190
SPY,2025-04-17,521.0,C,29,45.97,44.54,45.58,2.0,134.0,0.20716124877929684,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827223
SPY,2025-04-17,522.0,C,29,43.59,43.05,44.49,5.0,4.0,0.1997150341796875,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827255
SPY,2025-04-17,523.0,C,29,41.49,42.59,43.54,2.0,166.0,0.1981281359863281,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827288
SPY,2025-04-17,524.0,C,29,41.11,41.76,42.82,2.0,103.0,0.20520814331054685,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827320
SPY,2025-04-17,525.0,C,29,42.44,40.44,41.62,2.0,4212.0,0.19385571777343752,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827353
SPY,2025-04-17,526.0,C,29,39.34,40.0,40.79,2.0,87.0,0.1964802032470703,0.7,0.0,0.0,0.0,565.328,2025-03-19T11:23:19.827386
