symbol,expiry,strike,right,days_to_expiry,price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,timestamp
SPY,2025-04-17,260.0,C,29,304.84,302.2,304.16,10.0,15.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697384
SPY,2025-04-17,270.0,C,29,324.21,292.19,294.22,2.0,2.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697431
SPY,2025-04-17,275.0,C,29,316.0,333.81,337.34,1.0,1.0,3.2988909129333495,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697469
SPY,2025-04-17,280.0,C,29,293.02,308.53,311.42,3.0,0.0,2.5234411914062496,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697505
SPY,2025-04-17,285.0,C,29,321.51,290.58,291.79,1.0,1.0,1.8944097076416015,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697541
SPY,2025-04-17,290.0,C,29,298.06,299.38,302.43,,1.0,2.4571571774291994,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697576
SPY,2025-04-17,295.0,C,29,297.27,306.95,310.51,2.0,13.0,2.837527320251464,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697611
SPY,2025-04-17,300.0,C,29,252.13,263.18,265.0,5.0,18.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697645
SPY,2025-04-17,305.0,C,29,292.05,287.79,290.45,12.0,32.0,2.420780315246582,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697680
SPY,2025-04-17,320.0,C,29,279.73,290.03,293.65,5.0,3.0,2.807925343475342,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697714
SPY,2025-04-17,325.0,C,29,252.24,237.34,239.43,1.0,17.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697748
SPY,2025-04-17,330.0,C,29,256.93,232.18,234.15,16.0,16.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,565.53,2025-03-19T11:38:42.697782
