strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
526.0,30,39.34,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
527.0,30,43.84,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
528.0,30,36.32,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
529.0,30,37.47,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
530.0,30,34.94,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
531.0,30,38.51,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
532.0,30,31.44,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
533.0,30,32.62,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
534.0,30,38.56,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
535.0,30,30.78,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
536.0,30,30.57,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
537.0,30,32.06,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
538.0,30,28.62,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
539.0,30,27.82,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
540.0,30,27.1,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
541.0,30,27.03,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
542.0,30,24.99,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
543.0,30,25.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
544.0,30,25.85,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
545.0,30,22.57,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
546.0,30,22.58,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
547.0,30,21.45,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
548.0,30,21.34,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
549.0,30,20.55,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
550.0,30,19.79,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
551.0,30,18.97,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
552.0,30,18.23,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
553.0,30,17.92,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
554.0,30,16.52,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
555.0,30,16.65,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
556.0,30,15.66,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
557.0,30,15.5,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
558.0,30,14.45,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
559.0,30,14.12,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
560.0,30,13.6,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
561.0,30,12.74,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
562.0,30,12.3,0.00196310546875,0.3,0.0,0.0,0.0,561.02,1
563.0,30,11.81,0.0039162109375,0.3,0.0,0.0,0.0,561.02,1
564.0,30,11.2,0.0039162109375,0.3,0.0,0.0,0.0,561.02,1
565.0,30,10.68,0.007822421875,0.3,0.0,0.0,0.0,561.02,1
566.0,30,10.14,0.007822421875,0.3,0.0,0.0,0.0,561.02,1
567.0,30,9.63,0.007822421875,0.3,0.0,0.0,0.0,561.02,1
568.0,30,9.17,0.007822421875,0.3,0.0,0.0,0.0,561.02,1
569.0,30,8.62,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
570.0,30,8.1,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
571.0,30,7.68,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
572.0,30,7.28,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
573.0,30,6.84,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
574.0,30,6.43,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
575.0,30,5.96,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
576.0,30,5.66,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
577.0,30,5.23,0.015634843750000002,0.3,0.0,0.0,0.0,561.02,1
578.0,30,4.85,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
579.0,30,4.44,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
580.0,30,4.19,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
581.0,30,3.91,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
582.0,30,3.65,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
